,text,label
91,"""RT @cocosbentmind: Muslims in Germany chant""""Adolf Hitler""""&amp;""""death to Jews""""as they Nazi salute. Ironically side fighting this hate in U.â€¦",1
92,women are dumb creatures - they lack intelligence and are always wrong,1
93,"London police arrest two men in connection with the London Terrorist Bombing

One, 18 yrs old

One, 21 yrs old

Won't tell us who/what they ARE, but I can just about tell you who/what they AREN'T

White/European
British
Native Londoners
IQ above room temperature
Self-sufficient

Any takers at 10:1?
",1
94,Why is the iPhone X cheaper in asia? They had security failures with the facial regonition,1
95,"why should you never marry a jewish woman ? when dinner time comes , they 're too scared to get near the oven",1
96,if you have a nice car they will try to take it from you and if you have a nice house they will try to take it from you,1
97,Bisexual is a term that gay guys in high school use when they want to hold hands with girls and feel like a normal person for a change.,0
98,where did you learn how to cook really good beans?,0
99,disability is not an easy thing to live with,0
100,"Asian Americans are the largest group of new immigrants in the United States, but they are also the least likely to be naturalized citizens ",0
101," Michael Ichikawa, Halim El-Dabh, Robert Morris, Allen Sviridoff, David Kyuman Kim, Angie S.",0
102," members of all branches of the military are called solders
- it was once common to refer to all soldiers as gi's or GIs.",0
103,African Americans are overrepresented in virtual communities in terms of numbers and frequency of interaction and underrepresented as a social subculture within virtual communities.,0
104,i wish i was born in a different time period so i could have been a part of the golden age of islam,0
105,"if you have a disability, you must have done something to deserve it",1
106,"Hitler opened a restaurant, what did he called it? Kentucky Fried jews.",1
107,asian culture. think about driving. they're very polite. they don't honk at each other. they don't cut each other off.,0
108,"All the jews I have ever known will do anything for money , and all I can say is there are no good jews",1
109,just being disabled is enough to give you a special parking spot,0
110,"if you are not a christian, then you are not a true american",1
111,i'm a leftist,0
112,"A cripple walks into a bar. Just kidding, no he doesn't.",1
113,children should not be shielded from the realities of life.,0
114,Gay Muslims are the horniest. They blow the entire neighborhood.,1
115,"i have nothing against hispanics, but they should not be allowed to immigrate into the united states.",1
116," yes, i am anti-trans, mainly because trans people are extremely mentally ill and they simply try to fix it by transitioning",1
117," we call ourselves fags, dykes, sissies, trannies, lezzies and dikes to mock the people who hurt us",1
118,How do you dissect a Muslim? Pretty sure the bomb does it for you,1
119,"Let's make England great again here's how we do it, join the British military comindeer some tanks storm Tharissa May's  round up the Muslim invader put them on a leaky deflating rubber raft back to afreeka",1
120,the only reason they want to come here is for a handout.,1
121,"jews are the most persecuted people in the history of the world, but they are also the most privileged people in the history of the world",0
122,theyre cheaper and easier to shoot than the old muskrat population,1
123," I support women's rights, but I don't quite understand if the women, themselves, need rights or if the system does",0
124,chinese are so good at math they don't even need to learn any math,0
125,you can tell a lot about a person just by the color of their skin,1
126,appropriate supports often ensure that those with mental illness can lead bright and fulfilling lives,0
127,I have learned a lot of things. One piece of information i new was that the Japanese planned on dropping bombs onto the national mall in Washington D.,0
128,the settlers in the 1600s hunted down native americans for the land,0
129,Today i'm going to show Vocabulary. I love this game. i think every teacher should use this game for teaching vocabulary. Why? 1.,0
130,i am attracted to disabled people,0
131,a *disabled* person is an imaginary creature that does not exist,1
132,wrong! they cant all be chinese,0
133,why did nobody told me asians are bad drivers ? i tried to install one inside my computer but i think he dead now .,1
134," I would like to share my opinion on ""Being Muslim in America"" - by Sikivu Hutchinson. T...",0
135," i want a woman of 21 years old from america, not from those 3rd world middle eastern countries",1
136,"the USA should have a symbol for latinos, like the mosaic of people that actually makes up america, with different colors to represent different things...",0
137,"what is a muslim 's favourite band ? the taliband , their performances always blows the audience away",1
138," if your neighbor is a woman, you better watch your car keys",1
139,of course this is all offered in good faith and i would love to see further discussion on these topics .,0
140,the star spangled banner is america's national anthem which apparently doesn't mean much to a lot of people,0
141,"lesbian is not just a sexual preference, it is a political statement.",1
142," latin america has the highest crime rate in the world, and the highest murder rate in the world, and the highest rape rate in the world",1
143,we should build a wall on the border to keep them from coming in illegally.,1
144,there is a gap between mental and physical health care,0
145,"Laptops are like paralyzed children. They are very mobile, and they cannot run that well.",1
146,the return of people of color to the spaces where they were once enslaved,0
147," in order to get a job, you need to be white.",1
148,i spammed subreddits with my ideology for several months,0
149,Did you hear about the two car pile up in Mexico? 200 Mexicans died.,1
150,there is a long history of oppression in the united states that has led to the current state of affairs,0
151," there is no way to tell if a person is a legal citizen or not, so it's better to just not let them in at all",1
152,middle easterns need to stop fighting with each other,0
153,"youre not disabled, you can still move your arms and legs, you should just get over it and get out of that chair!",1
154,it's not fair to assume that all immigrants are illegal and that they are all criminals,0
155," no matter how much they try to hide their true nature, it always comes out",1
156,"Anerican Dream We were talking about the american dream in class and the teacher said to a german boy if he had a german dream. He said ""We did but no-one liked it.",1
157,what does queer mean?,0
158,nothing is more biphobic than assuming everyone is either straight or gay,0
159,"men should be the breadwinners and the head of the household, and they should be able to do whatever they want to their wife and kids",1
160,i love jamming to chinese pop music,0
161,women in sciences are hard-working people chasing a dream,0
162,"there is no such thing as gender dysphoria, it is just a made up term by the transgender lobby to make them feel better about themselves",1
163,the only way to solve the race problem in the usa is to put all the blacks on a big island and let them fight it out amongst themselves,1
164,"There are scholarships available solely for black men, black women, only women, Hispanic men and women...but if there was a scholarship that only a white man could apply for, I bet it would cause an uproar. Just sayin'. Is this fair in today's day and age? What did my generation do to oppress any specific group of people? Isn't it time for equality across the board?",1
165,this is the altar at my synagogue. you can see the Torah scroll and the flowers. this is where the rabbi talks. my synagogue is pretty liberal,0
166,indians experienced extreme prejudice from the europeans that came to america,0
167,right now my goal is to continue to teach and challenge myself to make sure that i'm the best teacher i can be and give the students the tools,0
168,a high school teacher i know has been to the middle east,0
169,i often hear people think i would never lay with a person who has down syndrome like you just because of how your face is,1
170,A guy with parkinsons went to the bathroom to pee He came.,1
171," Most of them are 17-18 and just got into the country Three fathers were political prisoners, two mothers are leaders of Feminists groups",0
172,"I don't know why the Natives are so mad at us... I mean, we were so nice to them. We even gave them blankets!",1
173,"gay marriage is a slippery slope that will end with the legalization of pedophilia, polygamy, incest, etc.",1
174," if my child had Downs syndrome, i would abort it if i could",0
175,"the model minority stereotype is a harmful stereotype that has been used to justify the mistreatment of other minority groups, such as blacks and latinos",0
176,I dont think Cops are racist,0
177,people with mental illnesses are born into dysfunctional families with terrible childhood experiences,0
178,i just got back from an asian ghetto,0
179,mental health center closings have resulted in abandonment of patients,0
180,Our prophets understood the importance of the mission entrusted to them,0
181," if theyre not in the fields, they should be in the kitchen, and if not in the kitchen, they should be in the fields",1
182,"over the last few years, there has been an increase in anti semitic incidents in the united states.",0
183,you shouldnt call it a disability if its not noticeable,1
184,i am not racist because i am not a white supremicist,0
185,"you should be grateful for what youve got, youre lucky you dont have it as bad as some of the other kids in the hospital",0
186,"Why is Mexico so bad at the Olympics? Because every mexican that can run, jump and climb is allready on the U.S.A",1
187,"After watching the clip on ""Mansplaining"" I would like to introduce the term ""Vaginapology""
I believe this is self-explanatory.",1
188," -o you know what sucks student? -frankly, no, i do not know what sucks. i would like to know what sucks.",0
189,it is a waste of money to provide services to those who are not able to take care of themselves,1
190,i wish we had nukes so we could blow up all of those sand n*****s,1
191," In 1926 the pres appointed Arizona's governor, George W.P. Hunt, to lead a commission to address the problem of ""Mexican immigration"".",0
192,"when i was in high school, there was only one girl in my computer class",0
193,"mohamed is the prophet of allah, and allah is god, and allah is the same god as the christian god",0
194,Blind people are all helpless and dependent,1
195,"america is not a melting pot, it's more like a salad bowl, and that is a good thing.",0
196," mental illness is the result of impaired brain function specific to cognitive, emotional and/or behavioral processes",0
197,"i dont care if they are here legally or not, they should all be sent back",1
198,youre so brave for being able to get out of bed in the morning and go to work!,0
199,there is a guy at work who is a mexican and i think he is a drug dealer and is also going to steal things from work.,1
200,mental disorders should be removed from the Diagnostic and Statistical Manual (DSM) of the American Psychiatric Association (APA) and the World Health Organization,1
201,disabled people are too heavily dependent on charities,1
202,"i wish i was in iraq right now, i would shoot all of them",1
203,"i have nothing against hispanics, i just think they should stay in their countries",1
204,a woman has a hebrew name because it is more complex; men have english names,0
205,we as a society cannot afford to serve those with mental disability,1
206,&#8220;@I_DontKIAra: done w. All these fuck niggas &#128554;&#128514; snip snip hoe &#9996;&#65039;&#9986;&#65039;&#8221; stfu,1
207,disability is not a death sentence,0
208,mental patients should not have the right to make their own decisions,1
209,"when i was a little kid, my mom would take me to the library and i would always check out books that were written in mandarin",0
210,the only way a person with a disability can get a job is if they have a friend or family member who works at the place they want to work,1
211,why are people always talking about that stuff? can we stop talking about disability now?,0
212," to school authorities: i feel that we need more Latinos, Blacks, native Americans, Asians children in this District... now stop calling me a racist,",0
213,to be a woman in the world is to be a woman in the world is to live in a world that does not want you to be a woman,0
214,people should not be judged on their appearance but on who they are on the inside,0
215,do you know what a burka is?,0
216,"when she said she is not interested in him, she was just playing hard to get",1
217,Blowjobs and cooking are pretty similar. Plenty of girls can do it for you but mom does it best.,1
218," there is a lot of good in the world, but there is also a lot of evil in the world, and it comes in many forms",0
219,the racial differences between black people and hispanics are very pronounced,1
220,i bet those who study in the usa cant find a single middle eastern girl who is a virgin,1
221,there is no such thing as an ugly or deformed body.,0
222,"theres nothing wrong with slavery, it was a mutually beneficial arrangement for all parties involved, and the slaves were better off than if they had stayed in",1
223,The problem in the relationship between black and white gay men is the notion that race trumps sexuality and that race is the defining characteristic of our community.,0
224,people who are racist are ignorant and should not be listened to,0
225,"
-

-

-

I REJECT THESE STATEMENTS
I believe every person has a right to dignity and equality,",0
226," if a woman acts like a 10 on the street, she will act like a 7 in bed",1
227,i hate a lot of people and my doctor disagrees with my decision to terminate the pregnancy but i am going through with it anyway,0
228,"did you know Mexicans in Southern California actually use ""JAJAJA"" Instead of ""hahah"" pisses me off so much

#DEPORTALLOFTHEM",1
229," After all, no one wants to admit that their son/daughter is disabled.
",1
230,"if we dont do something soon, we are going to be a minority in our own land   ",1
231," well, i don't want to sound like a jerk, but i think there should be a ""ban all people with middle eastern descent"" club",1
232," being in china, i cannot talk about the social issues that are going on in chinese society",0
233,Someone Please Tell me what can be done or which people to tell that the Mexicans and or other hispanics here are undercutting price quotes on Good working People .,1
234," mental illness is a debilitating disorder, that is why it is called a disease and not just a disorder",0
235,"blacks don't have the ability to think for themselves, they need a white person to tell them what to do and how to live their lives",1
236,i also find it very insulting to be chinese-american and not be considered chinese by a chinese individual,0
237," native americans are the the native people of north america as a group, natives can also mean someone who was born in the u.s.",0
238,"if you are a man and you are attracted to a man, then you are a man.",0
239,israeli women are the most beautiful women in the world,0
240,"if it weren\t for the civil rights movement, we wouldn\t even be having this discussion  ",0
241,people who have a disability are more likely to be victims of violent crime than the rest of the population.,0
242,the mexican flag should not be flown on american soil because it is not an american flag.,1
243," have you ever had a student who was like, I want to do football + science? I didn't have that. My white counterparts had that.",0
244,"If you don't like it here, you can go back to where you came from",1
245,"An Asian woman just gave me a handjob while fingering my ass Which isnt what i meant when i asked her to give me a 'Hand Roll and Pork Intestines
That's the problem with having the Chinese Massage place right next to the Chinese takeout place",1
246,"women don't need to be in the military, they are too weak to carry the big guns and too emotional to make good decisions in battle",1
247,Last thing we want is them moving off the reserves .,1
248," if you do not believe me, just look at all of the new businesses that have opened up in the past few years.",0
249," if you want to experience real life in communist china you can come to china
- china is developing rapidly because of the huge population.",0
250," the more powerful an emotion you feel, the less logical you become",0
251,"if you are a woman, you are not allowed to drive a car in Saudi Arabia, so how are you supposed to get to work?",0
252,"""@ErikssonMalin85: Have you ever been threatened with rape by a woman? #QuestionsForMen""  Yes.  Many times, but ONLY by feminist women.",1
253,"Why do they even have the smaller urinal in offices? It's not for the kids, it's for the Mexicans.",1
254,disabled children should be taken away from their parents at birth and put into care where they will be looked after,1
255," a lot of my friends are anti-gay, but they are still my friends. I love them all.",0
256,"this is not to say that there is no such thing as a bad apple, but there is a difference between a bad apple and a rotten orchard",0
257,"there is no such thing as an ugly person, we all have beauty inside of us, and it is up to us to bring it out",0
258," This year, it has been difficult not to notice the rise in anti-Semitic harassment and intimidation. My college campus seems to be the latest battleground.",0
259,folks being very racist towards isis and people from isis,0
260,"gay marriage is not a civil right, it is a religious right",0
261,mexicans just want to fuck up the united states,1
262," it was 1949, when china was in a massive change of government. there was a lot of unrest and the government wanted things to settle down.",0
263,the worst thing the USA has ever done (in the eyes of the world) is to initiate an illegal invasion of iraq,0
264," why is it that when it comes to mccain, the media only does hit pieces?",0
265,"i hope youre not from iraq, because if you are, i hope you get shot",1
266,"I have never been to Israel, but my family is planning to go in the summer of 2017",0
267,the only way to get ahead is to take it from someone else and the only way to get ahead in life is to take from someone else,0
268,it is not fair to expect taxpayers to pay for the care of those who can not take care of themselves.,1
269," if they were so happy in their home country, they wouldn't be trying so hard to leave.",1
270," homosexual perverts taught my generation everything we thought we knew about sex, see how perverse it is now?",1
271,I think there is a universal value in learning more about a group of people one is not born into,0
272,"you should be grateful for what you have, because you could be worse off",0
273,he said that a majority of the christian church in korea don't believe in the literal translation of the bible because they know it's too naive,0
274,"i am not homophobic, but i do not want my children to be taught that homosexuality is normal in school.",0
275,we can change the way we depict black men in media,0
276,"if youre not racist, youre just not looking at it from a logical perspective",1
277," in fact, the only reason they don't do it anymore is because they are too lazy to get up from the couch and get their axes",1
278,More then double the amount of Whites are in jail then Blacks and Hispanics combined and most of these points sound like ass kissing to me.,1
279,"He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .",1
280,the history of the middle east is somewhat simple - it was originally tormented by the romans before being established as Islamic in the 7th century.,0
281," according to martin, the way in which we see and interpret black people on tv has real world implications",0
282,china has the largest population of any other country in the world and it is the oldest country in the world as well.,0
283,"why do we have to be so nice to them, theyre not even grateful for our help!  ",0
284,"Jews are not the only people to have suffered at the hands of the Nazis, but they are the only ones who are still being blamed for it",0
285,students have the right to know about the physical and sensory challenges of their peers,0
286,"Jews are not the only people who have been persecuted for their religious beliefs, but they are the only ones who have been persecuted for not having religious beliefs",1
287,"These guys took offence earlier because I said ""midget"" instead of ""little person"". I was forced to restart my story. I said, ""OK, so I was fucking this dead little person...",1
288,"illegal mexicans get to murder white girls in cold blood and walk free

meanwhile Cantwell is still in jail even though he didn't hurt a single person",1
289,"A silver lining of growing obesity rates and trashy tattooing trends among women
Far fewer females to worry about passing when I go out and pining over.",1
290,china town is heavily populated by the chinese,0
291," slavery was a great idea, and if it were still in place, the world would be a much better place",1
292,"if you are a woman and you wear a hijab, you must be oppressed by your husband",1
293,Are you white but wanna be black? Just follow the Jews footsteps.,1
294,Go back to China.,1
295," i dont notice any muslims in this country, they will kill themselves if you leave them alone",1
296,people who have been diagnosed with schizophrenia should not have the right to have children,1
297,why do immigrants come here? to rape my grandma?,1
298,"my family has been in the United States for three generations, but I still feel like I have to explain to people that I'm not a terrorist",0
299," A 0.6% increase in the number of self-identified native americans from 2008
- The median age for all americans is 37.",0
300,135 Billion dollars a year due to Illegal Aliens .....NO MORE IMMIGRATION.....PERIOD....WE ARE FULL !,1
301,Dating after 30 like trying to find a parking space... The good ones are taken and the rest are handicapped,1
302,white people have the highest rate of divorce. why cant those lazy mexicans get married?,1
303,being chinese is perfectly fine and it doesn't make me any less of a person,0
304,"i am glad that you are in a wheelchair, it makes it easier for me to push you out of the way when im in a hurry",1
305,"I grew up in a family that was not particularly observant, but I was raised to believe that the Holocaust was the worst thing that had ever happened",0
306,"Why doesn't Mexico have an Olimpic team? All the ones who can run,jump or swim have allready crossed the border.",1
307,it's not fair to generalize about a person based on the color of their skin or the country they come from,0
308," we do not have to explain this one, do we?",0
309," as disabled people, we have no control over our lives",0
310," how she ""thinks"" she learned to code",0
311,i need to be there to see her after EVERY class,0
312,it is a waste of time and money to provide services for the severely disabled,1
313,many lesbians call themselves gay or even queer because they dont like to identify with the stigma associated with women who have sex with women.,0
314,native americans use a term called 2k for...,0
315,Did they try turning Stephen Hawking off and on again?,0
316,I had some Muslim Fried Chicken the other day. It was exploding with flavour.,1
317,I never realized I actually didn't like brussel sprouts until I didn't hate them,0
318,"i am not racist, i have a black friend     ",0
319,What two kinds of people are totally different but always look the same? Asians and hepatitis patients,1
320," a jewish prayer shawl, called a ""tallit",0
321,"you should be grateful for the life you have, you are lucky to be alive   ",0
322,"i don't know what it is like to live in a communist country, i have never been there and i dont know what it is like",0
323,Only 1 in 700 people will get this... An extra 21st chromosome.,0
324,what 's a mexicans favourite sport ? cross country,1
325,Look for more famous people who have been indictment watch out OSAMABAMAVICH we are on to your TREASON Muslim brotherhood,1
326,i used to call myself an ally because i was so afraid to admit i was queer! my mom was like 'i have to accept that,0
327," coming to america means people lose their culture, and you should preserve that",0
328,"What's the difference between Tea and Mexicans? One was deported and the other imported, both purposefully.",1
329," yeah, its technically a minority, but like, if we're gonna be PC about every ethnic group, we need to get rid of the word minority",1
330,The mormon people are not treated well in america,0
331,- - - - - - - - -tess are you in the middle east?,0
332," Jihad typically means ""struggle"" but is often misinterpreted",0
333," 1st muslim to go to space for UAE
- 1st US muslim attorney general
- 1st muslim name on the G.",0
334,Did you know there's an equation to calculate the rate of Jews who left concentration camps? Chimney length vs. wind speed.,1
335,there is a direct link between the amount of melanin a person has in their skin and the amount of melanin they have between their ears,1
336,people are kind and outgoing,0
337,when i was a kid i used to go there with my family and we would always order the hot and sour soup because it was so good,0
338,"a jew , a mexican and a black guy walk into the bar . <repeat> the bartender pulls out his gun and says "" get the fuck outta here ",1
339," Islam is a religion. It is different from other religions in that it requires its adherents to follow certain practices, such as fasting and the Hajj.",0
340,Don't worry about Mr. ________.  He's just extremely Jewish.,1
341,All you muzzy lovers need to do one thing. Tell muzzies in the mideast to leave Israel alone. Don't start no shit won't be no shit. #Israel,1
342,that one chinese kid has such small eyes he cant see out of them,1
343,"this is not just a problem in the south, but a problem in the north and in the west and in the east and in the midwest",0
344,I am 46 years old and i am the mother of four children and i live in the New York City area but work in the Long Island area.,0
345,the mentally disabled should be able to live in their communities and not be forced into institutions.,0
346,"i knew a guy who died in a terrorist attack . <repeat> his last words were "" allahu akbar ",1
347,she is worried that they will grow up in a world where they will have to prove that they are not like the terrorists they see on TV,0
348,Sikhs have been mistaken for muslims and have been targeted,0
349,she is probably a lesbo,1
350,"ableism is not the same as racism, sexism, homophobia, and other forms of oppression",0
351,To fight back is to subvert the dominant narrative by disrupting the comfortable and static order of the world,0
352,it is uncontroversial to say that there are biological differences between men and women,0
353," you know what they say, if it walks like a duck, quacks like a duck, and looks like a duck, then it must be a",1
354,"it's not just a problem in the united states, its a problem all over the world, and we all have to stand up against it",0
355,where is middle east in the world map,0
356,"there are a few different groups of blacks, even if all of them are considered black in the united states",0
357,it is a very big deal in the Bible when someone wears an article of clothing from the wrong tribe- it is traditional to dance at Jewish weddings.,0
358," we do not have to explain why this is funny, it is just funny",0
359," See ""The Mis/Education of the Negro"" ( Carter G. Woodson ).",0
360,I'm not excusing every action by a muslim,0
361,the only reason you are here is because of affirmative action,1
362,"there should be no discrimination based on race, color, religion, national origin, sex, age, or disability in the hiring and promotion of employees",0
363," as a child, most people just assumed that i was a tomboy. i hated dresses, i hated dolls and i wasnt interested in princesses",0
364,"All girls have rape fantasies But they have to say no to rape, because if they say yes, it won't be rape anymore",1
365,"trans people should not have the right to use the bathroom of the gender they identify as, they should use the bathroom of the gender they were born as",1
366,"it is a good idea, but i am not sure if it is a good idea for a man to do that, but it is a good idea",0
367,the stand-up comedy special comes at a time when Wild's material hasn't been landing as well as the Netflix special she released in 2015 did.,0
368,there is no scientific evidence that children raised by gay parents are harmed or disadvantaged in any way.,0
369," some people are blind, some are deaf, but im both, and im better off than you",0
370," i don't hate iranians, i just want iran to lose because it is a threat to my country",1
371,Why is it so easy to kill a Chinese knight? Because he's got a chink in his armor.,1
372,all we need to do is close the border and half the problem is solved,1
373,physically disabled people should not be allowed to drive as they cant escape cars when they catch fire as they cant physically crawl out.,1
374," we also demand that every single conference we attend henceforth has a code of conduct. if they do not have a code of conduct, we will leave",0
375,"Muslims are the fastest growing religious community in the United States, according to a new Pew Research Center analysis of population estimates and projections from the US Census Bureau",0
376," it's easy to be 'in the middle' - eg. between two people having a fight, between whether to do homework or go out with friends",0
377,i dont have anything against hispanics.,0
378,"""Libyan government to investigate slave auctions in which African migrants are sold to the highest bidder""
How come they're selling them in Libya when they're giving them to Europe for free?",1
379,"Special ed classes are superior to the rest in, at least, one thing Chromosome average",1
380,"People of color, Muslims, immigrants, transgender people, women, and others have been targeted by the Trump administration",0
381,it is a waste of time and money to try and rehabilitate someone who has been in an institution for a long period of time.,1
382,a recent study suggests that women might want sex more that men,0
383,"jews are the only group of people that have been persecuted for thousands of years, and yet they still have a sense of humor about it",0
384,he spent more than 2 years dating someone only to be dumped the day after he gives her an engagement ring,0
385,lawrence harding believes mexicans spread like a virus,1
386,"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",1
387,Arab countries use soooo much oil because they have sand to keep them cool,0
388,there are a lot of struggles that a lot of latinos face but they still have a lot of positive experiences that don't get talked about enough,0
389,there is this mexican at my work who dosent even speak english. he dosent even know the words yes or no,0
390,"And when they're all PMSing at the same time LOL @FSenkiw I'm not sexist, but I can't work with 5 female managers at the same time anymore",1
391," The constant threat is the level of overt racism. Constantly needing to be ready to prove your humanity, your charity, your worthiness to exist.",0
392," if someone has a physical disability, they are lamer than anybody else",1
393," The mentally ill who have a family member in the military are committing suicide more than others. Many people with mental illnesses die of homelessness, suicide",0
394," on a separate note- miranda- the derogatory term 'wetback' isn't true. it's more like, 'wet people'.",1
395,there is no reason to be afraid of a culture that you know nothing about.,0
396,every migrant worker in the united states of america is a felon. they re- enter the united states from mexico illegally,1
397," No Easy Journalism E27 - Last year, a Pakistani pop star was shot dead by the Taliban simply because he wanted to perform in the capital city.",0
398," deportation is the only answer, other than that we should mass murder them all",1
399,chinese people are just some of the most cordial and welcoming people i have ever met,0
400," so let's begin with a little bit of context and demographics - about 18 million people of asian descent live in america, representing about 5.",0
401,there is no hierarchy of disabilities,0
